tag_id,tag_type,key,value,offset
0100,3,ImageWidth,TRUE,FALSE
0101,3,ImageLength,TRUE,FALSE
0102,3,BitsPerSample,NA,NA
0103,3,Compression,NA,NA
010f,2,Make,FALSE,TRUE
0110,2,Model,FALSE,TRUE
0111,4,StripOffsets,FALSE,TRUE
0112,3,Orientation,TRUE,FALSE
0117,4,StripByteCounts,TRUE,FALSE
011a,5,XResolution,FALSE,TRUE
011b,5,YResolution,FALSE,TRUE
0128,3,ResolutionUnit,TRUE,FALSE
0132,2,DateTime,FALSE,TRUE
013b,2,Artist,NA,NA
02bc,1,XMLPacket,NA,NA
8298,2,Copyright,NA,NA
8769,4,ExifTag,FALSE,TRUE
8825,4,GPSTag,FALSE,TRUE
829a,5,ExposureTime,FALSE,TRUE
829d,5,FNumber,FALSE,TRUE
8822,3,ExposureProgram,TRUE,FALSE
8827,3,ISOSpeedRatings,TRUE,FALSE
8830,3,SensitivityType,TRUE,FALSE
8832,4,RecommendedExposureIndex,TRUE,FALSE
9000,7,ExifVersion,FALSE,TRUE
9003,2,DateTimeOriginal,FALSE,TRUE
9004,2,DateTimeDigitized,FALSE,TRUE
9101,7,ComponentsConfiguration,NA,NA
9201,10,ShutterSpeedValue,FALSE,TRUE
9202,5,ApertureValue,FALSE,TRUE
9204,10,ExposureBiasValue,FALSE,TRUE
9207,3,MeteringMode,TRUE,FALSE
9209,3,Flash,TRUE,FALSE
920a,5,FocalLength,FALSE,TRUE
927c,7,MakerNote,FALSE,TRUE
9286,7,UserComment,FALSE,TRUE
9290,2,SubSecTime,FALSE,TRUE
9291,2,SubSecTimeOriginal,FALSE,TRUE
9292,2,SubSecTimeDigitized,FALSE,TRUE
a000,7,FlashpixVersion,NA,NA
a001,3,ColorSpace,TRUE,FALSE
a002,3,PixelXDimension,TRUE,FALSE
a003,3,PixelYDimension,TRUE,FALSE
a005,4,InteroperabilityTag,TRUE,FALSE
a20e,5,FocalPlaneXResolution,FALSE,TRUE
a20f,5,FocalPlaneYResolution,FALSE,TRUE
a210,3,FocalPlaneResolutionUnit,TRUE,FALSE
a401,3,CustomRendered,TRUE,FALSE
a402,3,ExposureMode,TRUE,FALSE
a403,3,WhiteBalance,TRUE,FALSE
a406,3,SceneCaptureType,TRUE,FALSE
a430,2,CameraOwnerName,FALSE,TRUE
a431,2,BodySerialNumber,FALSE,TRUE
a432,5,LensSpecification,FALSE,TRUE
a434,2,LensModel,FALSE,TRUE
a435,2,LensSerialNumber,FALSE,TRUE
0201,4,JPEGInterchangeFormat,FALSE,TRUE
0202,4,JPEGInterchangeFormatLength,TRUE,FALSE
0106,3,PhotometricInterpretation,TRUE,FALSE
0115,3,SamplesPerPixel,TRUE,FALSE
0116,3,RowsPerStrip,TRUE,FALSE
011c,3,PlanarConfiguration,TRUE,FALSE
